image,Titel,Beschreibung
260220 Stuhl_7792.jpg,Stuhl ,24 x 30 cm
Mythen 250420_7799.jpg,Mythen,24 x 30 cm
Pilatus Kulm Ausblick 260213_7609.jpg,Pilatus Kulm Ausblick,12 x 20 cm
Thuner See 251120_7800.jpg,Am Thuner See,24 x 30 cm
Murtensee Sonnenuntergang 2501120_7801.jpg,Sonnenuntergang am Murtensee,24 x 30 cm
Finnland 250420_7796.jpg,Finnland,30 x 40 cm
Fribourg_St Nicolas Cathedrale 260220_7707.jpg,Fribourg St. Nicolas Kathedrale,24 x 30 cm
Solothurn Museum Altes Zeughaus 260222_7790.jpg,Solthurn Museum altes Zeughaus,24 x 30 cm
21624 Wangerooge.jpg,,
06-001 Aq Blumen.jpg,Blumen 1,30 x 40 cm
06-002 Aq Blumen.jpg,Blumen 2,30 x 40 cm
